"","hh_ID","freq_mean","pct_meat_mean","pct_fish_mean","pct_protein_mean","calories_total_grams_mean","avg_calories_pp_mean","fish_calories_wk_mean","meat_calories_wk_mean","protein_calories_wk_mean","freq_sd","pct_meat_sd","pct_fish_sd","pct_protein_sd","calories_total_grams_sd","avg_calories_pp_sd","fish_calories_wk_sd","meat_calories_wk_sd","protein_calories_wk_sd","freq_var","pct_meat_var","pct_fish_var","pct_protein_var","calories_total_grams_var","avg_calories_pp_var","fish_calories_wk_var","meat_calories_wk_var","protein_calories_wk_var","numChildren","hh_members","sex","age","maritalStatus","literacy","education","attendingCollege","occupationType","canCarry20L","canWalk5Km","canStandOwn","pctCanCarry20L","pctCanWalk5Km","pctCanStandOwn"
"21",107070,3.5,0,0,0,1197.0625,598.53125,0,0,0,2.88675134594813,0,0,0,804.898444033987,402.449222016994,0,0,0,8.33333333333333,0,0,0,647861.505208333,161965.376302083,0,0,0,0,2,"1",28,"2","4","2","0","nonearning","0","1","1",0.5,1,1
"22",107070,3.5,0,0,0,1197.0625,598.53125,0,0,0,2.88675134594813,0,0,0,804.898444033987,402.449222016994,0,0,0,8.33333333333333,0,0,0,647861.505208333,161965.376302083,0,0,0,0,2,"0",38,"2","4","2","0","trader","1","1","1",0.5,1,1
"23",107073,3,0,0.333333333333333,0.333333333333333,2496.52188827455,832.173962758182,1711.52188827455,0,1711.52188827455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,"0",38,"2","4","3","0","farming","1","1","1",0.666666666666667,0.666666666666667,1
"24",107075,1.21212121212121,0.00757575757575758,0,0.00757575757575758,50.541160169697,25.2705800848485,0,28.0822510787879,28.0822510787879,1.20049009599756,0.0428746462856272,0,0.0428746462856272,258.080010631555,129.040005315778,0,158.930188811751,158.930188811751,1.44117647058824,0.00183823529411765,0,0.00183823529411765,66605.2918875838,16651.3229718959,0,25258.8049157388,25258.8049157388,0,2,"0",30,"2","4","2","0","trader","1","1","1",0.5,1,1
"25",107081,2.25,0.125,0.5625,0.6875,976.49606855,488.248034275,583.17464,145.82142855,728.99606855,1.12546286774228,0.223606797749979,0.460977222864644,0.335410196624968,519.400724934532,259.700362467266,598.997547357592,260.853301451143,495.404084770521,1.26666666666667,0.05,0.2125,0.1125,269777.113062517,67444.2782656293,358798.061740411,68044.4448779608,245425.207207317,0,2,"0",38,"2","4","2","0","trader","1","1","1",1,1,1
"26",107082,2.11428571428571,0.0271428571428571,0.0302521008403361,0.0573949579831933,1826.9434046,456.73585115,36.7659515428571,103.489795914286,140.255747457143,2.73473182779128,0.0966556788887125,0.166666666666667,0.188352062434418,863.379161157791,215.844790289448,169.700737218406,343.897240394598,373.426878199407,7.47875816993464,0.00934232026143791,0.0277777777777778,0.0354764994232987,745423.575921532,46588.9734950957,28798.3402124705,118265.31195102,139447.633361755,1,4,"0",50,"2","4","2","0","farming","1","1","1",1,1,1
"27",107083,2.66666666666667,0.0944444444444444,0.0601851851851852,0.15462962962963,2409.25513125556,602.313782813889,144.333067777778,279.880952366667,424.214020144444,1.73472992874874,0.167664710384622,0.129912913065177,0.217984402796166,998.167178546528,249.541794636632,286.47195786402,592.912927293771,693.863393959773,3.00928792569659,0.0281114551083591,0.0168773649810802,0.0475171998624011,996337.716327535,62271.107270471,82066.1826424446,351545.739352068,481446.409477376,0,4,"0",45,"2","4","2","0","farming","0","1","1",0,0.75,1
"28",107083,2.66666666666667,0.0944444444444444,0.0601851851851852,0.15462962962963,2409.25513125556,602.313782813889,144.333067777778,279.880952366667,424.214020144444,1.73472992874874,0.167664710384622,0.129912913065177,0.217984402796166,998.167178546528,249.541794636632,286.47195786402,592.912927293771,693.863393959773,3.00928792569659,0.0281114551083591,0.0168773649810802,0.0475171998624011,996337.716327535,62271.107270471,82066.1826424446,351545.739352068,481446.409477376,0,4,"0",60,"2","4","3","0","self","0","0","1",0,0.75,1
"29",108089,2.75,0.1325,0.0683333333333333,0.200833333333333,503.9987041,83.9997840166667,32.6004184,150.2142857,182.8147041,1.13610158746593,0.215552045893794,0.121360981729643,0.273363844905423,422.175471013253,70.3625785022088,63.3839067478933,329.489355841403,356.803936991366,1.29072681704261,0.0464626844890003,0.0147284878863826,0.0747277917014759,178232.128325262,4950.8924534795,4017.51963462563,108563.235612783,127309.049452539,1,6,"0",28,"2","4","2","0","farming","1","1","1",0.666666666666667,0.666666666666667,0.833333333333333
"30",108094,1.13793103448276,0.0431034482758621,0.146551724137931,0.189655172413793,396.5999202,79.31998404,96.1323339931035,71.3793103448276,167.511644337931,0.571130874835599,0.186605006823045,0.344601218802256,0.381101161423178,417.894344231826,83.5788688463652,251.486173306556,288.373104881588,412.302811834052,0.326190476190476,0.0348214285714286,0.11875,0.145238095238095,174635.682940948,6985.42731763791,63245.2953643749,83159.0476190476,169993.608646265,1,5,"0",55,"2","4","3","0","farming","1","1","1",0.8,1,1
"31",108096,2.16,0.126666666666667,0.276666666666667,0.403333333333333,1488.198353736,248.033058956,323.48028064,229.777142856,553.257423496,1.25575597825496,0.303117703013766,0.33915850281025,0.369739937094468,884.563516719341,147.427252786557,449.408769555013,574.14586881283,618.641042565321,1.57692307692308,0.0918803418803419,0.11502849002849,0.136707621082621,782452.615110887,21734.7948641913,201968.242152951,329643.478674839,382716.739546307,3,6,"0",40,"5","2","1","0","farming","1","1","0",0.333333333333333,0.333333333333333,0.666666666666667
"32",109098,3.38297872340426,0.213323201621074,0.136879432624113,0.350202634245187,3099.10412496323,1033.03470832108,230.895051702128,702.507598740426,933.402650442553,1.4077940396134,0.172366995486751,0.180529308757473,0.181860552911422,1234.41797289186,411.472657630619,322.728396272426,557.532597485857,575.18659420327,1.98188405797101,0.0297103811331296,0.0325908313204509,0.0330732607052483,1523787.73179844,169309.747977605,104153.617760572,310842.597259326,330839.618151157,1,3,"0",26,"2","4","2","0","farming","1","1","1",0.666666666666667,0.666666666666667,1
"33",109100,3.11111111111111,0,0.216666666666667,0.216666666666667,1289.37275555556,322.343188888889,685.150533333333,0,685.150533333333,1.29421791055448,0,0.185236335528427,0.185236335528427,698.927814409841,174.73195360246,634.914276935255,0,634.914276935255,1.675,0,0.0343125,0.0343125,488500.089755718,30531.2556097324,403116.139056218,0,403116.139056218,2,4,"0",30,"2","4","3","0","farming","0","1","1",0,0.25,1
"34",109101,2.75675675675676,0.243243243243243,0.0630630630630631,0.306306306306306,2764.00477051865,691.001192629662,247.791085405405,1203.6061776,1451.39726300541,1.30339188633224,0.307246120703679,0.151877998985036,0.323722937032601,1451.07964803442,362.769912008604,592.709905522305,1367.31825478981,1443.57151117018,1.69883040935673,0.0944001786874594,0.0230669265756985,0.104796539961014,2105632.14493968,131602.00905873,351305.032104259,1869559.20988146,2083898.70786217,0,4,"0",25,"1","4","3","1","nonearning","1","1","1",1,1,1
"35",109102,3.72222222222222,0.220815295815296,0.158429533429533,0.379244829244829,2616.49741295333,872.165804317776,315.358591197778,703.8063492,1019.16494039778,3.33524197162484,0.284639494574343,0.260771829470345,0.339422524470885,1181.27540107866,393.75846702622,693.063600126346,951.913716609648,1087.02231462278,11.1238390092879,0.0810196418715377,0.0680019470453108,0.115207650118188,1395411.57319355,155045.730354839,480337.153820092,906139.723869593,1181617.51248786,1,3,"1",14,"1","4","2","1","self","0","1","1",0,1,1
"36",109103,1.125,0.125,0.125,0.25,2307.946984,769.315661333333,39.196984,186.25,225.446984,0.333333333333333,0.333333333333333,0.333333333333333,0.436435780471985,905.116011497044,301.705337165681,104.525290666667,496.666666666667,492.717644987116,0.111111111111111,0.111111111111111,0.111111111111111,0.19047619047619,819234.994268317,91026.1104742574,10925.5363889512,246677.777777778,242770.67768165,1,3,"0",28,"2","4","2","0","farming","0","1","1",0,0.333333333333333,0.333333333333333
"37",109104,1.77777777777778,0.111111111111111,0.12962962962963,0.240740740740741,1160.37011777778,386.790039259259,119.768562222222,144.444444444444,264.213006666667,1.55724115023974,0.316227766016838,0.314024061356946,0.411636301174282,1044.19399273105,348.064664243684,307.546490527836,411.096095821889,478.071688542616,2.425,0.1,0.0986111111111111,0.169444444444444,1090341.09445562,121149.010495069,94584.8438359883,169000,228552.539385988,0,3,"0",50,"2","2","2","0","wage","0","1","1",0.333333333333333,1,1
